Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
516, 95953, 3.00, 159.70, 11.93, 0
518, 95934, 2.15, 153.30, 11.83, 0
518, 95932, 2.15, 166.80, 11.93, 0
518, 95931, 2.60, 162.50, 11.74, 0
519, 95930, 2.60, 155.10, 11.74, 0
519, 95921, 3.00, 165.10, 11.83, 0
520, 95913, 2.45, 152.80, 11.83, 0
521, 95906, 1.95, 164.00, 11.83, 0
522, 95888, 3.00, 166.30, 11.74, 0
524, 95871, 2.50, 166.50, 11.74, 0
525, 95854, 2.60, 174.50, 11.83, 0
526, 95848, 2.60, 154.00, 11.74, 0
526, 95843, 2.35, 160.60, 11.83, 0
527, 95838, 2.85, 157.50, 11.74, 0
528, 95815, 2.75, 151.10, 11.74, 0
530, 95792, 2.65, 161.30, 11.64, 0
532, 95770, 1.90, 166.80, 11.64, 0
534, 95750, 3.00, 152.70, 11.74, 0
535, 95738, 2.85, 152.90, 11.55, 0
537, 95713, 3.00, 167.00, 11.64, 0
539, 95689, 2.60, 162.60, 11.64, 0
541, 95666, 2.35, 160.50, 11.64, 0
542, 95664, 2.50, 155.00, 11.64, 0
542, 95663, 2.40, 157.60, 11.64, 0
542, 95662, 3.15, 164.70, 11.64, 0
543, 95650, 3.10, 157.10, 11.64, 0
544, 95639, 1.85, 192.50, 11.64, 0
545, 95628, 2.35, 152.10, 11.64, 0
546, 95614, 2.60, 151.90, 11.64, 0
547, 95601, 2.45, 164.30, 11.55, 0
548, 95588, 1.85, 173.50, 11.64, 0
549, 95577, 2.70, 165.40, 11.64, 0
550, 95567, 2.70, 168.60, 11.55, 0
551, 95558, 3.40, 147.40, 11.45, 0
557, 95483, 3.25, 157.10, 11.45, 0
559, 95461, 2.50, 152.60, 11.45, 0
561, 95440, 3.05, 163.00, 11.45, 0
562, 95434, 2.50, 156.10, 11.45, 0
562, 95429, 2.90, 151.00, 11.45, 0
563, 95424, 3.05, 155.00, 11.55, 0
563, 95420, 2.95, 148.40, 11.55, 0
563, 95416, 3.65, 151.90, 11.64, 0
564, 95412, 3.60, 161.70, 11.64, 0
565, 95396, 2.55, 158.30, 11.45, 0
